Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PIH,1347 Property Insurance Holdings Inc.,7.3,$43.48M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,1.63,$50.73M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn
FLWS,1-800 FLOWERS.COM Inc.,9.4,$614.15M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),17.25,$139.19M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,44.82,$1.16B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,21Vianet Group Inc.,5.49,$617.63M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,2U Inc.,54.01,$2.59B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,51job Inc.,60.04,$3.69B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,14.12,$1.12B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,14,$1.29B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,A V Homes Inc.,15.35,$344.69M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,A. Schulman Inc.,31.25,$920.77M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,AAON Inc.,31.85,$1.68B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,ABAXIS Inc.,45.44,$1.03B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,13.85,$557.98M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,8.67,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.7601,$19.58M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,ABIOMED Inc.,153.85,$6.79B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.7,$281.94M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,9.55,$543.61M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,Acacia Communications Inc.,44.53,$1.75B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.4,$172.03M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,Acadia Healthcare Company Inc.,46.48,$4.08B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,35.8,$4.38B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,Acasti Pharma Inc.,1.34,$19.75M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,Accelerate Diagnostics Inc.,22.6,$1.25B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCP,Accelerated Pharma Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,38.45,$1.49B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,24.68,$503.27M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,4.15,$347.55M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,AcelRx Pharmaceuticals Inc.,3.25,$147.49M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,10.35,$311.63M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,Achaogen Inc.,17.39,$734.44M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHV,Achieve Life Sciences Inc. ,3.09,$33.83M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv
ACHN,Achillion Pharmaceuticals Inc.,4.9,$670.13M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,ACI Worldwide Inc.,22.775,$2.69B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,Aclaris Therapeutics Inc.,27.38,$732.05M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACNB,ACNB Corporation,26.65,$186.96M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,Acorda Therapeutics Inc.,22.25,$1.04B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
SQZZ,Active Alts Contrarian ETF,24.2737,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz
ATVI,Activision Blizzard Inc,65.83,$49.7B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,12.7,$415.57M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACXM,Acxiom Corporation,23.5,$1.87B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,Adamas Pharmaceuticals Inc.,21.26,$478.65M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,5.4,$169.3M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,7.55,$706.07M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,33.7,$391.75M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,ADDvantage Technologies Group Inc.,1.47,$14.98M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,6.45,$135.08M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADMA,ADMA Biologics Inc,3.62,$62.27M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,155.47,$76.71B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADOM,ADOMANI Inc.,13.35,$908.75M,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom
ADTN,ADTRAN Inc.,21.7,$1.04B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,Aduro Biotech Inc.,11.75,$876.7M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAAP,Advanced Accelerator Applications S.A.,50.1,$2.21B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADES,Advanced Emissions Solutions Inc.,10.05,$212.09M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,Advanced Energy Industries Inc.,73.68,$2.94B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AMD,Advanced Micro Devices Inc.,12.63,$11.96B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ADXS,Advaxis Inc.,7.2,$291.33M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,Advaxis Inc.,3.5847,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
